title,abstract,cited,rigor,novelty,grammar,replicability,accessibility,mathematics,computer_sciences,physical_sciences,chemical_sciences,earth_and_related_sciences,biological_sciences,other_natural_sciences,civil_engineering,electrical_engineering,mechanical_engineering,chemical_engineering,materials_engineering,environmental_engineering,evironmental_biotechnology,industrial_biotechnology,nano-technology,other_engineering_and_technologies,basic_medicine,clinical_medicine,health_sciences,medical_biotechnology,other_medical_sciences,agriculture_forestry_and_fisheries,animal_and_dairy_science,veterinary_science,agricultural_biotechnology,other_agricultural_sciences,psychology,economics_and_business,education,sociology,law,political_science,social_and_economic_geography,media_and_communications,other_social_sciences,history_and_archaeology,languages_and_literature,philosophy_ethics_and_religion,arts,other_humanities_and_the_arts,applied_research,conclusive_research,correlational_research,descriptive_research,ethnographic_research,experiment,exploratory_research,focus_groups,interviews,mixed_methods,observation,qualitative_research,quantitative_research,questionnaires,secondary_research,survey_methodology
The 2019 Sklare Address: How Gender and Family Still Matter for Contemporary Jewry,"Family has resurfaced in many ways as its contemporary face has changed, often challenging the transmission of Jewry in traditional ways. Gender fluidity and equality had nearly camouflaged the contribution of gender to the transmission of Jewry for a majority of the American Jewish population, at least. But revelations of persisting and underlying gendered patterns beyond the family have alerted us to its particular dynamic, which itself has multiple implications for family as well as institutional life. In this address, we will discuss the changes that are occurring and their implications, as well as research implications, drawing on previous research and approaches that the Sklare awardee has taken and is taking.",0,medium,medium,1,0,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethical issues in the access to emergency care for undocumented immigrants,"Patients who are undocumented immigrants (UIs) frequently present to emergency departments in the United States, especially in communities with large immigrant populations. Emergency physicians confront important ethical issues when providing care for these patients. This article examines those ethical issues and recommends best practices in emergency care for UIs. After a brief introduction and description of the UI population, the article proposes central principles of emergency medical ethics as a framework for emergency physician decisions and actions. It then considers the role of law and public policy in health care for UIs, including the Emergency Medical Treatment and Labor Act, the Patient Protection and Affordable Care Act, and current practices of the US Immigration and Customs Enforcement agency. The article concludes with discussion of the scope of emergency physician practice and with recommendations regarding best practices in ED care for UIs.",0,medium,low,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Media Engagement and Influenza Vaccination During the COVID-19 Pandemic: Cross-sectional Survey Study,"BACKGROUND: Vaccines are one of the most important achievements of modern medicine. However, their acceptance is only partial, with vaccine hesitancy and refusal representing a major health threat. Influenza vaccines have low compliance since repeated, annual vaccination is required. Influenza vaccines stimulate discussions both in the real world and online. Social media is currently a significant source of health and medical information. Elucidating the association between social media engagement and influenza vaccination is important and may be applicable to other vaccines, including ones against COVID-19. OBJECTIVE: The goal of this study is to characterize profiles of social media engagement regarding the influenza vaccine and their association with knowledge and compliance in order to support improvement of future web-associated vaccination campaigns. METHODS: A weblink to an online survey in Hebrew was disseminated over social media and messaging platforms. The survey answers were collected during April 2020. Anonymous and volunteer participants aged 21 years and over answered 30 questions related to sociodemographics; social media usage; influenza- and vaccine-related knowledge and behavior; health-related information searching, its reliability, and its influence; and COVID-19-related information searching. A univariate descriptive data analysis was performed, followed by multivariate analysis via building a decision tree to define the most important attributes associated with vaccination compliance. RESULTS: A total of 213 subjects responded to the survey, of whom 207 were included in the analysis; the majority of the respondents were female, were aged 21 to 40 years, had 1 to 2 children, lived in central Israel, were secular Israeli natives, had higher education, and had a salary close to the national average. Most respondents (128/207, 61.8%) were not vaccinated against influenza in 2019 and used social media. Participants that used social media were younger, secular, and living in high-density agglomerations and had lower influenza vaccination rates. The perceived influence and reliability of the information on social media about COVID-19 were generally similar to those perceptions about influenza. CONCLUSIONS: Using social media is negatively linked to compliance with seasonal influenza vaccination in this study. A high proportion of noncompliant individuals can lead to increased consumption of health care services and can, therefore, overload these health services. This is particularly crucial with a concomitant outbreak, such as COVID-19. Health care professionals should use improved and targeted health communication campaigns with the aid of experts in social media. Targeted communication, based on sociodemographic factors and personalized social media usage, might increase influenza vaccination rates and compliance with other vaccines as well.",0,medium,low,0,0,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
Application of Open-Source Software in Knowledge Graph Construction,"Knowledge graph (KG), as a new type of knowledge representation, has gained much attention in knowledge engineering. It is difficult for researchers to construct a high-quality KG. Open-source software (OSS) has been slightly used for the knowledge graph construction, which provide an easier way for researchers to development KG quickly. In this work, we discuss briefly the process of KGC and involved techniques at first. This review also summarizes several OSSs available on the web, and their main functions and features, etc. We hope this work can provide some useful reference for knowledge graph construction.",0,low,low,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SARS-CoV-2 infection in nonhuman primates alters the composition and functional activity of the gut microbiota,"The current pandemic of coronavirus disease (COVID) 2019 constitutes a global public health issue. Regarding the emerging importance of the gut-lung axis in viral respiratory infections, analysis of the gut microbiota’s composition and functional activity during a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection might be instrumental in understanding and controling COVID 19. We used a nonhuman primate model (the macaque), that recapitulates mild COVID-19 symptoms, to analyze the effects of a SARS-CoV-2 infection on dynamic changes of the gut microbiota. 16S rRNA gene profiling and analysis of β diversity indicated significant changes in the composition of the gut microbiota with a peak at 10–13 days post-infection (dpi). Analysis of bacterial abundance correlation networks confirmed disruption of the bacterial community at 10–13 dpi. Some alterations in microbiota persisted after the resolution of the infection until day 26. Some changes in the relative bacterial taxon abundance associated with infectious parameters. Interestingly, the relative abundance of Acinetobacter (Proteobacteria) and some genera of the Ruminococcaceae family (Firmicutes) was positively correlated with the presence of SARS-CoV-2 in the upper respiratory tract. Targeted quantitative metabolomics indicated a drop in short-chain fatty acids (SCFAs) and changes in several bile acids and tryptophan metabolites in infected animals. The relative abundance of several taxa known to be SCFA producers (mostly from the Ruminococcaceae family) was negatively correlated with systemic inflammatory markers while the opposite correlation was seen with several members of the genus Streptococcus. Collectively, SARS-CoV-2 infection in a nonhuman primate is associated with changes in the gut microbiota’s composition and functional activity.",0,high,high,0,1,high,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0
COVID-19 and Diabetes Mellitus: The Link and Clinical Implications,"BACKGROUND: Coronavirus disease 2019 (COVID-19) is a pandemic viral infection that has ravaged the world in recent times, and the associated morbidity and mortality have been much more pronounced in those with noncommunicable disease. Diabetes mellitus is one of commonest noncommunicable diseases associated with worsening clinical status in COVID-19 patients. SUMMARY: The aim of this review was to evaluate the receptors and pathogenetic link between diabetes and COVID-19. Both disease conditions involve inflammation with the release of inflammatory markers. The roles of angiotensin-converting enzyme molecule and dipeptidyl peptidase were explored to show their involvement in COVID-19 and diabetes. Pathogenetic mechanisms such as impaired immunity, microangiopathy, and glycemic variability may explain the effect of diabetes on recovery of COVID-19 patients. The effect of glucocorticoids and catecholamines, invasion of the pancreatic islet cells, drugs used in the treatment of COVID-19, and the lockdown policy may impact negatively on glycemic control of diabetic patients. The outcome studies between diabetic and nondiabetic patients with COVID-19 were also reviewed. Some drug trials are still ongoing to determine the suitability or otherwise of some drugs used in diabetic patients with COVID-19, such as dapagliflozin trial and linagliptin trial.",0,medium,medium,0,1,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urgent Need for Field Surveys of Coronaviruses in Southeast Asia to Understand the SARS-CoV-2 Phylogeny and Risk Assessment for Future Outbreaks †,Phylogenetic analysis of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is focused on a single isolate of bat coronaviruses (bat CoVs) which does not adequately represent genetically related coronaviruses (CoVs) [...].,0,medium,low,1,0,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probiotics in hospitalized adult patients: a systematic review of economic evaluations,"PURPOSE: Probiotics may prevent healthcare-associated infections, such as ventilator-associated pneumonia, Clostridioides difficile-associated diarrhea, and other adverse outcomes. Despite their potential benefits, there are no summative data examining the cost-effectiveness of probiotics in hospitalized patients. This systematic review summarized studies evaluating the economic impact of using probiotics in hospitalized adult patients. METHODS: We searched MEDLINE, EMBASE, CENTRAL, ACP Journal Club, and other EBM reviews (inception to January 31, 2019) for health economics evaluations examining the use of probiotics in hospitalized adults. Independently and in duplicate, we extracted data study characteristics, risk of bias, effectiveness and total costs (medications, diagnostics/procedures, devices, personnel, hospital) associated with healthcare-associated infections (ventilator-associated pneumonia, Clostridioides difficile-associated diarrhea and antibiotic-associated diarrhea). We used Grading of Recommendations Assessment, Development and Evaluation methods to assess certainty in the overall cost-effectiveness evidence. RESULTS: Of 721 citations identified, we included seven studies. For the clinical outcomes of interest, there was one randomized-controlled trial (RCT)-based health economic evaluation, and six model-based health economic evaluations. Probiotics showed favourable cost-effectiveness in six of seven (86%) economic evaluations. Three of the seven studies were manufacturer-supported, all which suggested cost-effectiveness. Certainty of cost-effectiveness evidence was very low because of risk of bias, imprecision, and inconsistency. CONCLUSION: Probiotics may be an economically attractive intervention for preventing ventilator-associated pneumonia, Clostridioides difficile-associated diarrhea, and antibiotic-associated diarrhea in hospitalized adult patients. Nevertheless, certainty about their cost-effectiveness evidence is very low. Future RCTs examining probiotics should incorporate cost data to inform bedside practice, clinical guidelines, and healthcare policy. Trial registration: PROSPERO CRD42019129929; Registered 25 April, 2019. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s12630-019-01525-2) contains supplementary material, which is available to authorized users.",0,high,high,0,1,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Multiple potential targets of opioids in the treatment of acute respiratory distress syndrome from COVID‐19,"COVID‐19 can present with a variety of clinical features, ranging from asymptomatic or mild respiratory symptoms to fulminant acute respiratory distress syndrome (ARDS) depending on the host's immune responses and the extent of the associated pathologies. This implies that several measures need to be taken to limit severely impairing symptoms caused by viral‐induced pathology in vital organs. Opioids are most exploited for their analgesic effects but their usage in the palliation of dyspnoea, immunomodulation and lysosomotropism may represent potential usages of opioids in COVID‐19. Here, we describe the mechanisms involved in each of these potential usages, highlighting the benefits of using opioids in the treatment of ARDS from SARS‐CoV‐2 infection.",0,medium,medium,0,1,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measuring quality and level of care provided by family caregivers of persons with dementia: protocol for a systematic review of validated instruments,"BACKGROUND: Changes in the quality-of-life (QoL) of family caregivers as they care for their loved ones with dementia over time may affect the quality or level of care that these caregivers provide. We do not know if validated instruments exist to directly measure this quality or level of care. The purpose of this systematic review is to identify validated instruments for measuring the quality or level of care provided by family caregivers of persons with dementia. METHODS: We will include articles containing a validated instrument or questionnaire designed to measure quality or level of care provided by the aforementioned group of caregivers. The included articles may utilize the tools in primary or secondary data analyses, or evaluate the tools' psychometric properties. The following electronic databases will be searched from inception date to the present: Medline, CINAHL Complete, Cochrane Central, and PsycINFO. We will also search the gray literature, the reference lists of included articles, and contact experts in the field to help identify relevant instruments. Included articles will be required to report on an instrument measuring at least one of the following outcomes: quality of care, level of care, appropriateness of care, amount of time spent providing care, and caregiver performance. Two reviewers will independently screen retrieved citations, extract data, and assess the methodological quality of each included article. A narrative synthesis method will be used to describe the findings. DISCUSSION: Results of this systematic review will show whether validated instruments exist to measure the quality or level of care provided by family caregivers of persons living with dementia. This will make it possible to develop initiatives that are targeted towards improving the quality or level of care provided by family caregivers.",0,high,medium,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermal Degradation Kinetics and Modeling Study of Ultra High Molecular Weight Polyethylene (UHMWP)/Graphene Nanocomposite,"The incorporation of nanofillers such as graphene into polymers has shown significant improvements in mechanical characteristics, thermal stability, and conductivity of resulting polymeric nanocomposites. To this aim, the influence of incorporation of graphene nanosheets into ultra-high molecular weight polyethylene (UHMWPE) on the thermal behavior and degradation kinetics of UHMWPE/graphene nanocomposites was investigated. Scanning electron microscopy (SEM) analysis revealed that graphene nanosheets were uniformly spread throughout the UHMWPE’s molecular chains. X-Ray Diffraction (XRD) data posited that the morphology of dispersed graphene sheets in UHMWPE was exfoliated. Non-isothermal differential scanning calorimetry (DSC) studies identified a more pronounced increase in melting temperatures and latent heat of fusions in nanocomposites compared to UHMWPE at lower concentrations of graphene. Thermogravimetric analysis (TGA) and derivative thermogravimetric (DTG) revealed that UHMWPE’s thermal stability has been improved via incorporating graphene nanosheets. Further, degradation kinetics of neat polymer and nanocomposites have been modeled using equations such as Friedman, Ozawa–Flynn–Wall (OFW), Kissinger, and Augis and Bennett’s. The ""Model-Fitting Method” showed that the auto-catalytic nth-order mechanism provided a highly consistent and appropriate fit to describe the degradation mechanism of UHMWPE and its graphene nanocomposites. In addition, the calculated activation energy (E(a)) of thermal degradation was enhanced by an increase in graphene concentration up to 2.1 wt.%, followed by a decrease in higher graphene content.",0,high,high,0,1,high,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Increased susceptibility to SARS‐CoV‐2 infection in patients with reduced left ventricular ejection fraction,"AIMS: Cardiovascular disease has been recognized as a major determinant of coronavirus disease 2019 (COVID‐19) vulnerability and severity. Angiotensin‐converting enzyme (ACE) 2 is a functional receptor for severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2) and is up‐regulated in patients with heart failure. We sought to examine the potential association between reduced left ventricular ejection fraction (LVEF) and the susceptibility to SARS‐CoV‐2 infection. METHODS AND RESULTS: Of the 1162 patients with acute coronary syndrome (ACS) who underwent percutaneous coronary intervention between February 2014 and October 2018, we enrolled 889 patients with available clinical follow‐up data. Follow‐up was conducted by telephone interviews 1 month after the start of the French lockdown which began on 17 March 2020. Patients were divided into two groups according to LVEF <40% (reduced LVEF) (n = 91) or ≥40% (moderately reduced + preserved LVEF) (n = 798). The incidence of COVID‐19‐related hospitalization or death was significantly higher in the reduced LVEF group as compared with the moderately reduced + preserved LVEF group (9% vs. 1%, P < 0.001). No association was found between discontinuation of ACE‐inhibitor or angiotensin‐receptor blockers and COVID‐19 test positivity. By multivariate logistic regression analysis, reduced LVEF was an independent predictor of COVID‐19 hospitalization or death (odds ratio: 6.91, 95% confidence interval: 2.60 to 18.35, P < 0.001). CONCLUSIONS: In a large cohort of patients with previous ACS, reduced LVEF was associated with increased susceptibility to COVID‐19. Aggressive COVID‐19 testing and therapeutic strategies may be considered for patient with impaired heart function.",0,high,high,1,1,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Toward More-Than-Human Understandings of Sport and the Environment: A New Materialist Analysis of Everyday Fitness Practices,"Sport and fitness have long been linked with healthy lifestyles, yet most sporting events and consumption practices are highly detrimental to the environment. While academics have examined the harmful effects of sporting mega-events and the production and consumption of sport equipment and clothing, there has been less engagement with the “mundane,” everyday activities of consuming, laundering, and recycling of fitness objects. In this paper, we explore the potential in feminist new materialisms for rethinking the complex relationships between sport, fitness, and the environment. In particular, we explain how our engagement with Karen Barad's theory of agential realism led us to rethink women's habitual fitness practices as connected to environmental degradation. Working with Barad's concept of entanglement, we came to notice new human-clothing-environment relationships, focusing on how athleisure clothing itself is an active, vital force that intra-acts with other non-human (and human) matter within the environment. Adopting a diffractive methodology that included reading interviews with women about their activewear practices, our own experiences, new materialist theory, and environmental literature through each other, we focus on two examples that emerged through this process: laundering and disposal practices. Through these examples, we demonstrate the ways in which new materialisms encouraged us to move toward non-anthropocentric understandings of the sport-environment relationship and toward new ethical practices in our everyday fitness lifestyles.",0,high,high,0,1,high,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
